,ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
0,441736986,20190415,,,833-015407,17152083+7628082,1237656565429043368,J171520.89+762807.9,1656748007679619712,60600827,,STAR,tmgaia2,258.836805278923,76.4690041781621,tmgaia2,13.5822,0.033397,-3.65684,0.0348336,gaia2,3.39077,0.0181122,gaia2,108.356139958651,31.8770365004484,104.422719018003,79.5216121941452,15.395,0.037,14.273,0.092,17.0935,0.0095604,14.9361,0.00431039,14.2063,0.00769017,16.4559,0.0153965,13.46,0.00475418,12.342,0.023,11.784,0.021,11.675,0.027,AAA-222-111-000-0-0,,11.54,0.023,11.553,0.021,11.343,0.109,8.88,,14.0845,0.000352,13.441,0.0066,rered,gaia2,4708.0,123.0,4.69298,,,,0.647054,,0.753,,2.77954,,DWARF,0.185319945,,292.429,1.5605,0.01956,0.004131065,,,,,,0.00525809,0.00300404,panstarrs,,,,,,,,,,,1.552,1.569,bj2018,,,dered,14.6473,0.004136,13.3723,0.004967,1,,ucac4,apassdr9,,0.659237614586506,0.54020121268227,258.837055219415,76.4689884335582,0.0167602500366936,0.0174034453702421,1,0,168208974
0,119178132,20190415,,,,14030609-0128489,1237655499741331584,J140306.06-012848.9,3659304478265974400,882868,,STAR,tmgaia2,210.775377203405,-1.48024009993758,tmgaia2,-38.9103,0.112854,-10.1849,0.107735,gaia2,3.36271,0.0651317,gaia2,336.885135309228,56.5919040884798,209.177178580529,10.3559914513511,,,16.7179,0.0464,19.872,0.0390164,17.5156,0.0050477,16.0658,0.0036708,15.0041,0.003574,14.4112,0.00383406,13.09,0.024,12.438,0.026,12.236,0.026,AAA-222-111-000-0-0,,12.112,0.023,12.019,0.023,11.731,0.216,9.027,,15.7133,0.000977,14.5486,0.00749597,cdwrf,cdwrf,3507.0,157.0,4.62397,0.0131326,,,0.632538,0.0205038,0.613865,0.0212398,2.42557,0.152248,DWARF,0.0545269251,0.0133715253,295.008,5.714,0.0436548,0.00822564,44,0.00134842447,,,0.000141882774,0.00909894,0.00735234,panstarrs,,,,,,,,,,,5.606,5.822,bj2018,,,cdwrf,16.9619,0.008483,14.5944,0.002068,1,,gaia2,,cooldwarfs_v8,1.75021079635716,1.67068177000299,210.775209617021,-1.48028395159705,0.0538246293208589,0.0513479801361854,1,0,884077022
0,207491214,20190415,,,738-055813,16251570+5733450,,J162515.71+573344.8,1431388153080389888,57383637,,STAR,tmgaia2,246.315409920089,57.5625096055874,tmgaia2,12.576,0.0303576,-22.4608,0.0317549,gaia2,1.21567,0.0165435,gaia2,87.4928023610036,41.9965724571341,208.080469960286,75.8647941544456,14.143,0.012,13.557,0.126,,,,,,,,,,,12.5,0.021,12.203,0.021,12.132,0.02,AAA-222-111-000-0-0,,12.131,0.022,12.147,0.021,11.819,0.096,9.927,0.453,13.4282,0.000392,13.0445,0.0065,rered,spect,5845.27,117.68,4.14076,,-0.557,0.111,1.44294,,1.05,,0.349501,,DWARF,2.189812,,803.472,10.7605,0.0291777,,,,,,,,,panstarrs,,,,,,,,,,,,,bj2018,,,spect,13.7132,0.001575,12.9846,0.001897,1,,ucac4,apassdr9,,0.537086306367316,0.492462932888233,246.315510868582,57.5624128994046,0.0154321212237975,0.0160612916036454,1,0,160570034
0,311116297,20190415,,,543-056260,14445973+1830331,1237667782849659059,J144459.70+183033.1,1236647738809642752,43750713,,STAR,tmgaia2,221.248860657046,18.5091787481029,tmgaia2,-20.1894,0.0433172,2.62596,0.0546634,gaia2,1.57824,0.0305436,gaia2,20.6855435235516,62.5247423573477,212.106711026659,32.6809936444785,14.995,0.04,14.144,0.057,16.3487,0.00726754,14.7807,0.00480772,14.1033,0.00403814,13.889,0.00114547,13.6859,0.00574236,12.598,0.026,12.115,0.032,11.996,0.023,AAA-222-111-000-0-0,,11.976,0.023,12.023,0.022,12.032,0.223,9.049,,13.9701,0.000425,13.419,0.0067,rered,gaia2,5192.0,122.0,4.26488,,,,1.14508,,0.88,,0.586104,,DWARF,0.8584309,,622.41,11.9255,0.0316105,0.005000395,,,,,,0.00448797,0.00551282,panstarrs,,,,,,,,,,,11.701,12.15,bj2018,,,dered,14.4239,0.00207,13.3555,0.001034,1,,ucac4,apassdr9,,0.680643280010086,0.847692086211601,221.248768988717,18.5091900543417,0.0224974050904924,0.0263419685385401,1,0,152587767
0,349312122,20190415,,,554-051141,14492847+2036552,,J144928.48+203655.2,1238155753366801280,46049402,,STAR,tmgaia2,222.368584179377,20.6153711284279,tmgaia2,-0.250699,0.0364596,-8.19619,0.0440007,gaia2,2.38289,0.0219595,gaia2,25.7536419120826,62.3116051304954,212.387833505952,35.0250497727401,14.526,0.11,13.699,0.092,,,,,,,,,,,12.167,0.023,11.769,0.016,11.687,0.021,AAA-222-111-000-0-0,,11.616,0.022,11.658,0.021,11.618,0.161,9.191,,13.475,0.00031,12.958,0.0067,rered,spect,5447.46,133.611,4.55983,0.0813399,0.125,0.088,0.847187,0.0496683,0.95,0.117221,1.56237,0.364036,DWARF,0.5694163,0.0181632,414.658,3.8045,0.0239428,0.00459407,39,0.017366318,,,0.000440856762,0.00305007,0.00613807,panstarrs,0.0967074,0.137735,0.0532588,0.0460779,0.22401,0.504062,0.0513668,0.111313,0.0130224,0.023304,3.77,3.839,bj2018,126.206,141.016,spect,13.8974,0.002431,12.9007,0.002085,1,,ucac4,apassdr9,,0.574680796113626,0.682278032924025,222.36858302613,20.6153358392763,0.0181570950175561,0.0190922678840027,1,0,152877625
0,422217860,20190415,,,479-051484,12442054+0541185,1237671764789035087,J124420.47+054118.7,3708841114934118784,39229837,,STAR,tmgaia2,191.085605786574,5.68843464334383,tmgaia2,-100.373,0.105041,14.6984,0.0526876,gaia2,11.2392,0.0493998,gaia2,298.112161515809,68.4937557152268,187.935206201771,9.61611291796231,15.208,0.033,13.79,0.056,17.1843,0.012751,15.7711,0.00716015,13.2311,0.00119153,12.3931,0.00155646,12.5232,0.00605647,10.558,0.027,9.909,0.028,9.687,0.024,AAA-222-111-000-0-0,,9.522,0.022,9.518,0.02,9.39,0.04,8.36,,13.0245,0.000609,11.8706,0.00736713,cdwrf,cdwrf,3687.0,157.0,4.63319,0.0113828,,,0.621449,0.0185908,0.605246,0.0203519,2.52183,0.141745,DWARF,0.0642981157,0.0148703111,88.7485,0.39205,0.0,0.0,43,0.0630206838,,,0.0009906662,0.0,0.0,,,,,,,,,,,,0.3904,0.3937,bj2018,,,cdwrf,13.9987,0.001651,11.8972,0.001566,1,,cdwrf,apassdr9,cooldwarfs_v8,1.63062318009711,0.817143103514065,191.085171486374,5.68849792828447,0.0395427231227463,0.0281582904267699,1,0,146653832
0,198161914,20190415,,,773-038605,16152685+6435190,,J161526.84+643519.3,1629716926627758208,58881969,,STAR,tmgaia2,243.861871490053,64.5885996815638,tmgaia2,-4.13466,0.0303769,30.5061,0.0290019,gaia2,2.57722,0.0151762,gaia2,96.8318879401226,40.7074426557329,178.227737915469,79.0979130982631,14.907,0.027,14.127,0.092,,,,,,,,,,,12.494,0.021,12.062,0.023,11.929,0.023,AAA-222-111-000-0-0,,11.88,0.023,11.941,0.021,11.757,0.142,9.75,,13.8404,0.000197,13.2643,0.0063,rered,gaia2,5013.0,122.0,4.54849,,,,0.802286,,0.83,,1.60728,,DWARF,0.366221249,,383.712,2.251,0.0168132,0.00334984,,,,,,0.0044716,0.00222808,panstarrs,,,,,,,,,,,2.238,2.264,bj2018,,,dered,14.336,0.001156,13.2119,0.001048,1,,ucac4,apassdr9,,0.557216956732686,0.449757689020119,243.861830004638,64.5887310272768,0.0154693830950652,0.0143266330802385,1,0,159462509
0,158022899,20190415,,,591-053117,14412492+2811426,1237665180597157911,J144124.91+281142.6,1280110711901516416,46833350,,STAR,tmgaia2,220.35386317595,28.1951684499053,tmgaia2,-10.8603,0.0390856,-6.64264,0.0452959,gaia2,1.39587,0.0218699,gaia2,41.8722944016273,65.6765965168873,206.553185008921,41.3372802208206,13.907,0.149,13.164,0.08,15.704,0.00551341,14.8307,0.00478685,13.1897,0.00190856,14.2342,0.00984161,13.354,0.00512669,11.913,0.023,11.586,0.021,11.505,0.019,AAA-222-111-000-0-0,,11.46,0.023,11.509,0.021,11.362,0.116,9.131,,13.07,0.000329,12.5757,0.0065,rered,gaia2,5436.0,121.058,3.94918,0.0817664,,,1.71122,0.0939701,0.95,0.117553,0.189585,0.0441011,DWARF,2.30369568,0.0897973,701.942,10.8585,0.012337,0.003764,33,0.0228600856,,,0.000207304533,0.00256353,0.00496447,panstarrs,0.0904086,0.144697,0.102524,0.0854161,0.0345319,0.0536704,0.0951158,0.0684171,0.0868077,0.0927869,10.694,11.023,bj2018,109.217,132.898,dered,13.472,0.001199,12.5219,0.000918,1,,ucac4,apassdr9,,0.624797603142387,0.702291105003648,220.353810120999,28.1951398496597,0.0140558607167891,0.0169532561368762,1,0,152405002
0,274223601,20190415,,,719-055625,16400010+5347290,1237668504367333393,J164000.10+534728.9,1426659737684638464,56264613,,STAR,tmgaia2,250.000451039192,53.7913498051765,tmgaia2,0.384451,0.0280406,3.28112,0.035695,gaia2,0.663267,0.0153088,gaia2,81.9878096401275,40.7812769941129,222.991089306725,73.9658869855564,14.444,0.07,13.91,0.103,15.518,0.00551747,14.5222,0.00831905,13.9265,0.00459336,13.8779,0.00157712,13.7196,0.00521395,12.724,0.02,12.462,0.019,12.47,0.021,AAA-222-111-000-0-0,,12.379,0.023,12.397,0.023,12.47,0.183,9.942,,13.8017,0.000377,13.3931,0.0071,rered,gaia2,6064.0,122.0,3.87537,,,,2.03184,,1.13,,0.134713,,DWARF,5.0293355,,1443.94,32.14,0.0340922,0.005600475,,,,,,0.00642588,0.00477507,panstarrs,,,,,,,,,,,31.44,32.84,bj2018,,,dered,14.1021,0.001546,13.3251,0.000732,1,,ucac4,apassdr9,,0.487539267256299,0.553503634332772,250.000453841288,53.7913639322211,0.0137768173583158,0.01599418529769,1,0,162417154
0,235684964,20190415,,,831-017804,19131084+7607220,,J191310.83+760722.1,2292382998321495424,60612648,,STAR,tmgaia2,288.295226659894,76.1228142441901,tmgaia2,-6.60288,0.0304588,2.042,0.0531401,gaia2,1.25695,0.0211361,gaia2,107.658627023035,24.9896164226456,66.9847181904911,78.8973185732747,14.576,0.103,13.726,0.092,,,,,,,,,,,12.396,0.021,12.034,0.023,11.947,0.027,AAA-222-111-000-0-0,,11.929,0.023,11.967,0.021,11.755,0.137,9.512,,13.6109,0.00082,13.0994,0.0086,rered,gaia2,5526.0,122.0,4.06441,,,,1.51431,,0.97,,0.279338,,DWARF,1.9264853,,777.763,12.8835,0.0616095,0.009625355,,,,,,0.0154867,0.00376401,panstarrs,,,,,,,,,,,12.674,13.093,bj2018,,,dered,14.028,0.002741,13.0449,0.002512,1,,ucac4,apassdr9,,0.599874235338765,0.824166422981805,288.295108127168,76.1228230361632,0.0174465450196602,0.0285564439526429,1,0,257615496
0,28242530,20190415,,,651-054233,14512938+4002101,1237661360768221219,J145129.38+400209.6,1488611926510512384,52320885,,STAR,tmgaia2,222.872416502019,40.0361286741005,tmgaia2,-0.737894,0.0225502,-40.2367,0.0276101,gaia2,2.53401,0.017843,gaia2,68.1360760667315,62.0506142809878,201.590504566683,52.8823250942172,15.001,0.03,14.238,0.092,16.4978,0.00595181,14.6743,0.00369243,13.8755,0.00356483,14.309,0.0119439,13.4862,0.00394113,12.505,0.022,12.031,0.018,11.932,0.021,AAA-222-111-000-0-0,,11.885,0.023,11.923,0.021,11.829,0.159,9.211,,13.9041,0.000226,13.3272,0.007,rered,spect,4951.84,63.2881,4.52331,,-0.0685801,0.0609661,0.820896,,0.82,,1.48235,,DWARF,0.3650374,,390.189,2.737,0.0200619,,,,,,,,,panstarrs,,,,,,,,,,,,,bj2018,,,spect,14.3964,0.001529,13.2708,0.000923,1,,ucac4,apassdr9,,0.372190288871942,0.428185839520809,222.872412352487,40.0359554327572,0.0118204279534392,0.0140108700028702,1,0,152979392
0,357347296,20190415,,2003-00298-1,593-050848,13242115+2834039,,J132421.12+283403.8,1449595653318636544,47255481,,STAR,tmgaia2,201.088161774261,28.5677716709179,tmgaia2,-35.3173,0.328935,-14.9919,0.247318,gaia2,3.364,0.12809,gaia2,46.0291157324555,82.5849277078148,186.937529209907,34.363074875905,12.241,0.248,11.589,0.017,,,,,,,,,,,10.246,0.024,9.892,0.028,9.784,0.021,AAA-222-111-000-0-0,,9.764,0.022,9.806,0.02,9.785,0.046,8.836,,11.3375,0.000897,10.8833,0.0061,rered,gaia2,5686.0,122.878,4.12157,0.083914,,,1.44824,0.092917,1.012,0.124512,0.333166,0.0803924,DWARF,1.97515821,0.1635425,295.293,11.2745,0.0144261,0.00572778,30,0.0018371339,,,0.0007098483,0.0039142,0.00754136,panstarrs,0.126681,0.122342,0.0914648,0.0943693,0.0819169,0.0788679,0.082519,0.0853091,0.147155,0.17993,10.852,11.697,bj2018,153.454,92.3016,dered,11.6994,0.001249,10.8316,0.000826,1,,tycho2v3,tycho2b3,,5.26234804293653,3.83496830613079,201.087988634226,28.5677071225689,0.112758972601737,0.108646265405808,1,0,148476016
