name,hostname,IC,disposition,period,rade,rade_est,rade_err1,rade_err2,radj,radj_est,radj_err1,radj_err2,masse,masse_est,masse_err1,masse_err2,massj,massj_est,massj_err1,massj_err2,tran_depth_ppm,tran_dur_hr,semi_au,eccen,insol,distance_pc,year_discovered,year_confirmed,discoverymethod,facility,st_mass,st_rad,st_teff,st_log_lum,Jmag,Kmag,ra,dec,flag_tran,flag_kepler,flag_k2,url
TOI-5244.01,TIC 352151292,352151292.0,Candidate,5.0821798,10.682516956862745,,0.6725927231372549,-0.6725927231372549,0.9530319672490107,,0.06000480679574953,-0.06000480679574953,,80.07934786965127,,,,0.2519578055581927,,,4930.0,4.249,0.059353698446019586,,741.4141503290034,766.439,2022,,Transit,TESS,1.08,1.53168,5929.0,0.41695644229963813,12.194,11.835,305.2633333333333,52.91031666666667,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=352151292
TOI-5245.01,TIC 123041007,123041007.0,Candidate,0.4305826,12.38425634231884,,2.695262502086957,-2.695262502086957,1.1048512473695489,,0.24045562810609328,-0.24045562810609328,,3725.0995923357696,,,,11.720474051541823,,,15510.0,0.435,0.009693887568666312,,1010.767884707122,,2022,,Transit,TESS,0.655483,0.688774,3861.0,-1.02235260865089,13.35,12.496,279.05787499999997,42.519275,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=123041007
TOI-5247.01,TIC 289307883,289307883.0,Candidate,12.9177538,15.196571292307691,,1.4528158195384613,-1.4528158195384613,1.35574961337587,,0.12961176884963718,-0.12961176884963718,,37698.904557822425,,,,118.61401868304263,,,11460.0,1.8,0.10738482584974218,,130.45391602698678,497.041,2022,,Transit,TESS,0.99,1.30022,5606.0,0.1773429548106512,11.652,11.255,314.8042083333333,23.733205555555553,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=289307883
TOI-5248.01,TIC 256154857,256154857.0,Candidate,0.701239,10.997930453411765,,,,0.9811713230138418,,,,,84.13489912256593,,,,0.2647179968084565,,,13700.0,1.05,0.014689827923852634,,2102.3671357321723,423.737,2022,,Transit,TESS,0.86,0.854017,5126.0,-0.3432580239536047,12.48,11.873,300.04575,21.74061111111111,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=256154857
TOI-5249.01,TIC 185598695,185598695.0,Candidate,4.6285493,12.782440683018867,,,,1.1403749359419606,,,,,1814.5861409838083,,,,5.709326489805998,,,15300.0,2.844,0.05627870632536551,,412.4209817025641,668.429,2022,,Transit,TESS,1.11,1.05524,6007.0,0.11602896324094056,12.769,12.403,302.1839166666666,42.49633888888889,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=185598695
TOI-5250.01,TIC 278105308,278105308.0,Candidate,5.4463931,20.25028055936073,,1.490476273287671,-1.490476273287671,1.806612130527313,,0.1329716152668284,-0.1329716152668284,,52222.288083227875,,,,164.30969353166324,,,8350.0,2.222,0.06888398831901546,,1966.016741255226,782.324,2022,,Transit,TESS,1.47,2.19095,6815.0,0.9698237805092216,11.21,10.857,302.75179166666663,23.344719444444443,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=278105308
TOI-5251.01,TIC 436007113,436007113.0,Candidate,2.3205922,14.702447960264902,,0.7579191357615894,-0.7579191357615894,1.311666806570883,,0.06761713254351526,-0.06761713254351526,,36310.6192832068,,,,114.24598471940104,,,8900.0,2.393,0.03873705198252432,,2843.723013747741,668.834,2022,,Transit,TESS,1.44,1.5078,6756.0,0.6301404254649835,11.683,11.383,305.80379166666665,29.872672222222224,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=436007113
TOI-5252.01,TIC 395385033,395385033.0,Candidate,8.5394045,13.475321915294117,,1.019944336235294,-1.019944336235294,1.202189765399449,,0.09099349536930466,-0.09099349536930466,,546.696904387932,,,,1.7201008249874035,,,6460.0,5.884,0.08854407008915001,,549.4335763108865,913.714,2022,,Transit,TESS,1.27,1.70462,6369.0,0.6342341584413723,12.208,11.917,302.49924999999996,23.409780555555553,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=395385033
TOI-5253.01,TIC 284660935,284660935.0,Candidate,1.1110609,12.94437912156863,,,,1.1548221405930297,,,,,1363.0683373763056,,,,4.288692606116296,,,4060.0,1.155,0.020710416718493576,,2006.3679404740328,582.471,2022,,Transit,TESS,0.96,1.02164,5500.14,-0.06521174531887516,12.556,12.089,179.211875,58.40535555555555,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=284660935
TOI-5254.01,TIC 126225595,126225595.0,Candidate,4.4836616,13.92437099574468,,0.8870596643404254,-0.8870596643404254,1.2422513099082295,,0.07913829862263844,-0.07913829862263844,,259.53218823481524,,,,0.8165795846115024,,,3420.0,3.542,0.05321430589052622,,1789.6625391165653,613.744,2022,,Transit,TESS,1.0,2.3528,5646.0,0.7048279510851689,10.932,10.539,315.26183333333324,26.591652777777778,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=126225595
TOI-5255.01,TIC 158325942,158325942.0,Candidate,2.612273,12.869881189655171,,0.6128354393793103,-0.6128354393793103,1.1481758688488173,,0.05467360985711939,-0.05467360985711939,,1554.1315618878104,,,,4.889844738987688,,,7680.0,3.005,0.03784897997246531,,1564.5123428462603,678.578,2022,,Transit,TESS,1.06,1.44555,5873.97,0.3504873533301017,11.972,11.602,287.0078333333333,45.396658333333335,True,False,False,https://exofop.ipac.caltech.edu/tess/target.php?id=158325942
