name,hostname,IC,disposition,period,rade,rade_est,rade_err1,rade_err2,radj,radj_est,radj_err1,radj_err2,masse,masse_est,masse_err1,masse_err2,massj,massj_est,massj_err1,massj_err2,tran_depth_ppm,tran_dur_hr,semi_au,eccen,insol,distance_pc,year_discovered,year_confirmed,discoverymethod,facility,st_mass,st_rad,st_teff,st_log_lum,Jmag,Kmag,ra,dec,flag_tran,flag_kepler,flag_k2,url
HD 2039 b,HD 2039,,Confirmed,1120.0,,12.728077075344418,,,,1.1355249313804934,,,1999.1507,,368.6828,-368.6828,6.290031534372912,,1.1600058155600281,-1.1600058155600281,,,2.2,0.71,0.3229,85.6922,2002,2002.0,Radial Velocity,Anglo-Australian Telescope,1.23,1.19,5945.0,0.1939,7.912,7.549,6.0851069,-56.649988,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HD 2039
HAT-P-8 b,HAT-P-8,,Confirmed,3.07634,15.6926,,1.45717,-1.45717,1.400002406702848,,0.13000022347955018,-0.13000022347955018,406.8224,,85.8141,-85.8141,1.2800064171696863,,0.2700013536217307,-0.2700013536217307,8300.0,3.9016058,0.04496,0.0,1519.9645,211.553,2008,2008.0,Transit,HATNet,1.27,1.57,6200.0,0.519,9.214,8.953,343.0414932,35.4471778,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HAT-P-8
K2-43 b,K2-43,,Confirmed,3.471149,4.51,,0.44,-0.19,0.4023559419235719,,0.03925423823644603,-0.01695069378391988,,18.522606837513468,,,,0.05827863857724734,,,6650.0,2.0448,0.03784,0.07,49.0,182.536,2016,2016.0,Transit,K2,0.571,0.542,3840.6,-1.21241,12.422,11.577,169.117028,-3.9754405,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-43
Kepler-1753 b,Kepler-1753,,Confirmed,16.00460052,2.22678077,,,,0.19866041555890168,,,,,5.588949126971709,,,,0.017584800511866366,,,831.9,3.9475,0.1179,0.0,27.41,707.688,2011,2021.0,Transit,Kepler,0.86,0.769,5180.0,-0.55992,14.085,13.521,288.236664,46.6058744,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1753
Kepler-1176 b,Kepler-1176,,Confirmed,24.1738579,2.45,,0.63,-0.32,0.21857473563475635,,0.056204932020365916,-0.028548536899233482,,6.573084924286874,,,,0.020681238013660314,,,532.6,3.057,0.1589,0.0,26.087,864.699,2013,2016.0,Transit,Kepler,1.01,1.02,5844.0,-0.11691,13.76,13.31,297.919724,45.2742038,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1176
K2-126 b,K2-126,,Confirmed,7.385655,1.97,,0.12,-0.12,0.1757519302859061,,0.010705701337212555,-0.010705701337212555,,4.539295959580318,,,,0.014282222310510033,,,882.0,2.5872,0.0656,0.06,35.3,102.953,2017,2017.0,Transit,K2,0.69,0.65,4339.0,-0.87762,10.508,9.712,203.5467021,-13.5769705,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-126
Kepler-1263 b,Kepler-1263,,Confirmed,4.55139967,1.14,,0.28,-0.12,0.10170416270351927,,0.024979969786829297,-0.010705701337212555,,1.5543850369441659,,,,0.004890642260704112,,,188.70000000000002,2.491,0.0499,0.0,144.813,664.83,2013,2016.0,Transit,Kepler,0.84,0.8,5213.0,-0.41402,13.635,13.08,286.483626,46.7526182,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1263
Kepler-1416 b,Kepler-1416,,Confirmed,1.49514952,0.88,,0.33,-0.14,0.07850847647289207,,0.02944067867733453,-0.012489984893414649,,0.6146271325213927,,,,0.0019338332249993753,,,52.0,3.11,0.0257,0.0,2658.55,949.59,2014,2016.0,Transit,Kepler,1.09,1.15,6019.0,0.28393,12.942,12.537,298.6634624,43.8940593,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1416
Kepler-1542 c,Kepler-1542,,Confirmed,2.89223021,0.65,,0.09,-0.06,0.05798921557656801,,0.008029276002909416,-0.005352850668606277,,0.20750908747456087,,,,0.0006528966044850621,,,44.3,2.607,0.0387,0.0,786.082,399.114,2015,2016.0,Transit,Kepler,0.94,0.99,5564.0,0.07026,11.421,10.989,285.7284757,42.6544651,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1542
K2-85 b,K2-85,,Confirmed,0.68453862616,1.4,,0.2,-0.2,0.12489984893414648,,0.017842835562020928,-0.017842835562020928,3.2,,1.3,-1.3,0.010068325969619658,,0.004090257425157986,-0.004090257425157986,400.0,0.8184,0.013,0.24,800.0,97.2179,2016,2016.0,Transit,K2,0.7,0.71,4232.0,-0.81171,10.229,9.466,59.464829,18.4649505,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-85
Kepler-368 c,Kepler-368,,Confirmed,72.379334,3.88,,1.08,-1.08,0.34615100990320596,,0.09635131203491301,-0.09635131203491301,,14.346968517982726,,,,0.04514061116091286,,,366.4,7.685,0.36,0.0,28.681,770.978,2014,2014.0,Transit,Kepler,1.165,2.019,5502.0,0.56235,11.6,11.175,291.880018,45.3878419,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-368
K2-123 b,K2-123,,Confirmed,30.951524,2.76,,0.16,-0.16,0.24623113075588876,,0.014274268449616741,-0.014274268449616741,,8.046706037057248,,,,0.025317768550874618,,,2117.0,3.7608,0.1649,0.06,2.9,161.555,2017,2017.0,Transit,K2,0.62,0.59,4035.0,-1.14267,11.907,11.055,134.4441404,21.4532748,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-123
Kepler-770 b,Kepler-770,,Confirmed,18.92540274,2.3,,0.32,-0.17,0.20519260896324062,,0.028548536899233482,-0.015166410227717787,,5.904522488210083,,,,0.01857770534570277,,,640.9,3.7409,0.1694,0.0,27.736,930.457,2011,2016.0,Transit,Kepler,0.94,0.92,5598.0,0.05399,13.391,12.923,286.4904589,38.374872,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-770
Kepler-1399 b,Kepler-1399,,Confirmed,1.638653058,1.25,,0.22,-0.11,0.11151772226263079,,0.019627119118223017,-0.009813559559111508,,2.0969060342016963,,,,0.006597604212501595,,,166.9,1.948,0.0276,0.0,1707.252,1385.7,2014,2016.0,Transit,Kepler,0.97,0.96,5735.0,0.00959,14.295,13.929,293.3116962,46.0416516,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1399
Kepler-723 b,Kepler-723,,Confirmed,4.082275068,12.19,,1.58,-0.79,1.0875208275051753,,0.1409584009399653,-0.07047920046998266,,5335.664436203116,,,,16.787877752562455,,,18815.1,3.23796,0.0479,0.0,251.48,1071.8,2011,2016.0,Transit,Kepler,0.92,0.89,5539.0,-0.172,13.949,13.499,284.8304434,44.6580932,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-723
K2-107 b,K2-107,,Confirmed,3.313959,15.98,,0.55,-0.55,1.425642561405472,,0.04906779779555755,-0.04906779779555755,266.9772,,25.4264,-25.4264,0.8400042112676066,,0.0800004010731054,-0.0800004010731054,6657.999999999999,3.2232,0.0475,0.0,1291.4267,685.2,2017,2017.0,Transit,K2,1.3,1.81,6061.0,0.46446,11.564,11.21,284.985355,-22.2934206,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-107
K2-45 b,K2-45,,Confirmed,1.7292684,6.71,,0.0,0.0,0.5986271331058021,,0.0,0.0,,36.36214045473516,,,,0.11440808845355237,,,24060.0,1.689,0.0224,0.1,100.0,495.317,2016,2016.0,Transit,K2,0.503,0.445,4103.0,-0.73994,13.536,12.756,169.6327547,-1.7740582,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-45
K2-365 b,K2-365,,Confirmed,23.448172,2.906,,0.195,-0.176,0.25925640071616407,,0.017396764672970404,-0.015701695294578415,,8.782655004471833,,,,0.027633322957416814,,,783.0,5.712,0.15024929956908661,,42.91460187056302,187.222,2022,2022.0,Transit,K2,0.823,1.051,5561.0,-0.01377,10.109,9.623,238.8197061,-21.0269691,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-365
K2-127 b,K2-127,,Confirmed,3.588163,8.37,,0.33,-0.33,0.7467226682705757,,0.02944067867733453,-0.02944067867733453,,52.92276707737851,,,,0.16651364692165696,,,15120.0,2.3208,0.0411,0.12,105.6,709.999,2017,2017.0,Transit,K2,0.72,0.66,4575.0,-0.25445,13.373,12.793,207.0782895,-11.5889878,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-127
K2-195 b,K2-195,,Confirmed,15.852975,3.13,,0.12,-0.12,0.2792403765456275,,0.010705701337212555,-0.010705701337212555,,9.962709868776379,,,,0.031346190781121025,,,1118.0,4.8408,0.1208,,66.6667,315.014,2018,2018.0,Transit,K2,0.94,0.99,5713.0,-0.01196,11.248,10.876,199.8315191,-8.5095364,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-195
K2-80 c,K2-80,,Confirmed,5.605,1.47,,0.23,-0.23,0.1311448413808538,,0.020519260896324065,-0.020519260896324065,,2.761315420715744,,,,0.008688069925219862,,,301.0,2.68,0.0596,,166.0,200.802,2016,2016.0,Transit,K2,0.9,0.87,5441.0,-0.43238,10.874,10.313,59.037486,13.5590288,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-80
K2-229 c,K2-229,,Confirmed,8.32727,2.03,,0.12,-0.06,0.18110478095451238,,0.010705701337212555,-0.005352850668606277,7.0,,4.0,-4.0,0.022024463058543,,0.012585407462024573,-0.012585407462024573,532.5,2.5,0.0769,0.0,66.0,102.564,2018,2018.0,Transit,K2,0.87,0.79,5315.0,-0.38869,9.518,9.05,186.8729195,-6.7218474,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-229
HAT-P-3 b,HAT-P-3,,Confirmed,2.8997,10.53646,,0.78463,-0.78463,0.940001615929055,,0.0700001203351424,-0.0700001203351424,206.5895,,34.9613,-34.9613,0.6500032587189813,,0.11000055147551993,-0.11000055147551993,12000.0,2.0808,0.03866,0.0,176.587,134.554,2007,2007.0,Transit,HATNet,1.06,0.87,5185.0,-0.36,9.936,9.448,206.0940142,48.028565,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HAT-P-3
WASP-32 b,WASP-32,,Confirmed,2.71866,10.76064,,1.68135,-1.68135,0.9600016503105243,,0.15000025786101942,-0.15000025786101942,835.8929,,260.6206,-260.6206,2.63001318527834,,0.8200041109993305,-0.8200041109993305,11000.0,2.424,0.0394,0.0,616.33,275.994,2010,2010.0,Transit,SuperWASP,0.72,0.95,6140.0,0.19345,10.503,10.161,3.9617073,1.2005122,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-32
WASP-24 b,WASP-24,,Confirmed,2.34121,15.46842,,1.79344,-1.79344,1.3800023723213786,,0.16000027505175404,-0.16000027505175404,394.1092,,92.1707,-92.1707,1.2400062166331336,,0.29000145389000703,-0.29000145389000703,10000.0,2.6832,0.03651,0.0,934.465,322.114,2010,2010.0,Transit,SuperWASP,1.43,1.42,6075.0,0.33131,10.457,10.148,227.2154975,2.343286,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-24
Kepler-65 c,Kepler-65,,Confirmed,5.859944,2.58,,0.06,-0.06,0.23017257875006994,,0.005352850668606277,-0.005352850668606277,5.4,,1.7,-1.7,0.016990300073733176,,0.005348798171360443,-0.005348798171360443,282.0,3.928,0.068,0.02,609.992,303.728,2011,2012.0,Transit,Kepler,1.25,1.41,6211.0,0.4674,10.066,9.806,288.6887221,41.1511076,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-65
TrES-2 b,TrES-2,,Confirmed,2.47063,15.24424,,0.89672,-0.89672,1.3600023379399093,,0.08000013752587702,-0.08000013752587702,473.5667,,69.9226,-69.9226,1.4900074699865882,,0.22000110295103986,-0.22000110295103986,16000.0,1.74259,0.03568,0.0,903.864,215.32,2006,2006.0,Transit,TrES,1.36,1.12,5850.0,0.03841,10.232,9.846,286.8085258,49.3164211,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/TrES-2
Kepler-939 b,Kepler-939,,Confirmed,14.878296,1.75,,0.31,-0.2,0.1561248111676831,,0.027656395121132434,-0.017842835562020928,,3.7125653450218676,,,,0.011681036899123011,,,322.8,7.504,0.1153,0.0,54.19,2093.62,2013,2016.0,Transit,Kepler,0.88,0.85,5471.0,0.39065,14.28,13.762,293.8656181,47.0268148,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-939
Kepler-1028 b,Kepler-1028,,Confirmed,2.51462432,1.33,,0.15,-0.11,0.11865485648743916,,0.013382126671515693,-0.009813559559111508,,2.3298087569091677,,,,0.007330398128573708,,,228.4,1.6093,0.0354,0.0,519.636,607.916,2013,2016.0,Transit,Kepler,0.9,0.87,5522.0,-0.24485,13.124,12.63,289.5931004,49.7812447,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1028
HAT-P-67 b,HAT-P-67,,Confirmed,4.8101069,23.9872187,,0.28022452,-0.28022452,2.1399999942716668,,0.02500000015403122,-0.02500000015403122,143.02278315,,47.67426105,-47.67426105,0.4500000005738831,,0.15000000019129436,-0.15000000019129436,6965.0,6.9888,0.06505,0.0,2029.17,371.686,2017,2017.0,Transit,HATNet,1.73,2.62,6640.0,1.07773,9.145001,8.9,256.6107279,44.7768849,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HAT-P-67
Kepler-1101 b,Kepler-1101,,Confirmed,81.3151059,2.47,,0.37,-0.21,0.22035901919095846,,0.03300924578973871,-0.018734977340121972,,6.6644440677379215,,,,0.02096868602508856,,,781.7,5.762,0.3483,0.0,3.577,742.473,2013,2016.0,Transit,Kepler,0.94,0.91,5614.0,-0.35135,13.793,13.314,294.5693544,45.6711623,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1101
Kepler-1388 b,Kepler-1388,,Confirmed,12.2854603,2.59,,0.13,-0.14,0.23106472052817098,,0.011597843115313602,-0.012489984893414649,,7.223426078106939,,,,0.02272744011619749,,,1617.1,3.037,0.0882,0.0,17.674,453.795,2014,2016.0,Transit,Kepler,0.63,0.61,4098.0,-1.1068,14.222,13.343,283.3360156,47.1744499,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1388
Kepler-768 b,Kepler-768,,Confirmed,11.3910025,1.79,,0.2,-0.13,0.15969337828008728,,0.017842835562020928,-0.011597843115313602,,3.8577840518661466,,,,0.012137946048308899,,,448.59999999999997,2.297,0.092,0.0,40.589,784.56,2011,2016.0,Transit,Kepler,0.82,0.78,5108.0,-0.46575,14.121,13.514,294.1156858,38.3934378,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-768
Kepler-796 b,Kepler-796,,Confirmed,6.40087618,1.3,,0.36,-0.22,0.11597843115313602,,0.032117104011637664,-0.019627119118223017,,2.241289989783498,,,,0.007051886940495553,,,140.8,2.5038,0.07317,0.0,962.264,817.584,2011,2016.0,Transit,Kepler,0.93,1.09,5475.0,0.57234,11.606,11.074,287.3078999,39.1447097,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-796
Kepler-110 b,Kepler-110,,Confirmed,12.691112,1.83,,0.36,-0.36,0.16326194539249148,,0.032117104011637664,-0.032117104011637664,,4.005285045305126,,,,0.012602036074179639,,,252.1,3.755,0.107,0.0,153.881,586.531,2011,2014.0,Transit,Kepler,0.989,1.149,5960.0,0.27598,11.919,11.623,292.9291693,48.6028303,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-110
Kepler-1042 b,Kepler-1042,,Confirmed,10.13202575,2.19,,0.11,-0.16,0.19537904940412912,,0.009813559559111508,-0.014274268449616741,,5.433121672262753,,,,0.01709451250904577,,,911.6,3.1376,0.0756,0.0,25.66,,2013,2016.0,Transit,Kepler,0.75,0.72,4815.0,-0.6,14.022,13.368,288.6689428,39.8239935,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1042
Kepler-334 c,Kepler-334,,Confirmed,12.758005,1.43,,0.26,-0.26,0.1275762742684496,,0.023195686230627205,-0.023195686230627205,,2.634961397665614,,,,0.008290515709081878,,,191.4,4.088,0.107,0.0,97.21,426.59,2013,2014.0,Transit,Kepler,1.022,1.068,5828.0,0.05556,11.71,11.409,287.1406177,47.1151153,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-334
Kepler-937 b,Kepler-937,,Confirmed,67.668827,3.72,,1.29,-0.48,0.33187674145358925,,0.11508628937503497,-0.04282280534885022,,13.357019972062789,,,,0.04202588470670257,,,961.1,9.623,0.3214,0.0,20.627,1571.46,2013,2016.0,Transit,Kepler,1.15,1.22,6095.0,0.28097,14.025,13.681,294.1688142,46.7146161,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-937
Kepler-1117 b,Kepler-1117,,Confirmed,4.79028459,1.11,,0.17,-0.08,0.09902773736921615,,0.015166410227717787,-0.0071371342248083705,,1.4126888550434489,,,,0.004444816214445693,,,142.0,2.7287,0.05485,0.0,194.976,568.487,2013,2016.0,Transit,Kepler,0.95,0.93,5612.0,-0.22396,12.867,12.463,292.0847866,49.2374206,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1117
Kepler-1789 b,Kepler-1789,,Confirmed,80.23190308,2.83137505,,,,0.2525987971577939,,,,,8.40318266826788,,,,0.02643936946449353,,,888.7,4.656,0.3543,0.0,4.91,611.461,2014,2021.0,Transit,Kepler,0.92,0.888,5436.0,-0.23129,13.14,12.735,282.8631419,41.7966332,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1789
Kepler-1831 b,Kepler-1831,,Confirmed,5.78387022,1.97019818,,,,0.17576961075166453,,,,,4.540071281469429,,,,0.014284661745982205,,,413.3,1.3966,0.0655,0.0,288.69,1053.49,2013,2021.0,Transit,Kepler,1.117,1.012,6063.0,-0.0455,13.901,13.538,295.3024604,49.5890456,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1831
Kepler-1245 b,Kepler-1245,,Confirmed,4.35409304,1.44,,0.12,-0.1,0.12846841604655065,,0.010705701337212555,-0.008921417781010464,,2.666321718592877,,,,0.008389186313334246,,,277.09999999999997,2.313,0.0484,0.0,194.344,805.936,2013,2016.0,Transit,Kepler,0.86,0.83,5306.0,-0.41093,14.001,13.519,290.7443078,43.260753,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1245
Kepler-114 b,Kepler-114,,Confirmed,5.188549,1.26,,0.13,-0.13,0.11240986404073183,,0.011597843115313602,-0.011597843115313602,1.09,,0.49,-0.31,0.0034295235334016964,,0.0015417124140980102,-0.0009753690783069044,353.6,2.435,0.053,0.0,92.535,259.533,2011,2014.0,Transit,Kepler,0.77,0.667,4605.0,-0.6853,12.035,11.366,294.121482,48.3497977,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-114
Kepler-1105 b,Kepler-1105,,Confirmed,4.421572182,2.01,,0.06,-0.25,0.1793204973983103,,0.005352850668606277,-0.022303544452526157,,4.696885192237493,,,,0.014778053486664614,,,716.8,2.0749,0.0471,0.0,47.18,318.004,2013,2016.0,Transit,Kepler,0.71,0.68,4299.0,-0.94508,13.147,12.371,281.1117588,42.4549698,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1105
Kepler-187 b,Kepler-187,,Confirmed,4.938864,1.41,,0.28,-0.28,0.12579199071224753,,0.024979969786829297,-0.024979969786829297,,2.5726990481502776,,,,0.008094616449533505,,,123.5,4.279,0.059,0.0,902.239,1143.0,2013,2014.0,Transit,Kepler,1.081,1.287,6105.0,0.49267,12.956,12.566,299.7964955,44.0892448,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-187
Kepler-1379 b,Kepler-1379,,Confirmed,0.881841146,1.3,,0.12,-0.09,0.11597843115313602,,0.010705701337212555,-0.008029276002909416,,2.241289989783498,,,,0.007051886940495553,,,249.89999999999998,1.3051,0.0171,0.0,1600.049,971.325,2014,2016.0,Transit,Kepler,0.83,0.79,5188.0,-0.40329,14.406,13.8,293.6704404,41.4102105,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1379
Kepler-304 c,Kepler-304,,Confirmed,5.315946,2.17,,0.15,-0.15,0.19359476584792704,,0.013382126671515693,-0.013382126671515693,,5.3491500104755785,,,,0.016830308114332043,,,1049.7,1.114,0.054,0.0,73.598,434.684,2013,2014.0,Transit,Kepler,0.737,0.687,4731.0,-0.6616,13.243,12.626,294.4418031,40.5575408,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-304
Kepler-1291 b,Kepler-1291,,Confirmed,8.63043276,1.66,,0.1,-0.18,0.14809553516477367,,0.008921417781010464,-0.016058552005818832,,3.3942496567135816,,,,0.010679503739394363,,,325.79999999999995,3.131,0.0779,0.0,62.823,897.352,2013,2016.0,Transit,Kepler,0.84,0.8,5216.0,-0.46748,14.412,13.893,289.3770051,40.0010791,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1291
Kepler-304 e,Kepler-304,,Confirmed,1.499146953,1.2,,0.06,-0.03,0.10705701337212555,,0.005352850668606277,-0.0026764253343031386,,1.8681094423368765,,,,0.005877729628866272,,,276.0,1.4421,0.02317,0.0,397.254,434.684,2013,2016.0,Transit,Kepler,0.8,0.73,4817.0,-0.6616,13.243,12.626,294.4418031,40.5575408,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-304
Kepler-461 b,Kepler-461,,Confirmed,8.313783059,2.58,,0.07,-0.06,0.23017257875006994,,0.006244992446707324,-0.005352850668606277,,7.176138995883963,,,,0.022578658316830886,,,810.3000000000001,2.9927,0.07895,0.0,254.906,692.158,2011,2016.0,Transit,Kepler,0.98,0.91,5634.0,0.24622,12.253,11.917,292.2490563,46.1647909,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-461
Kepler-1894 b,Kepler-1894,,Confirmed,2.762660027,1.20117759,,,,0.10716207109577294,,,,,1.8746884681465186,,,,0.005898429558995653,,,185.0,1.893,0.0385,0.0,544.05,935.191,2014,2021.0,Transit,Kepler,0.999,0.901,5772.0,-0.26976,14.078,13.648,295.5864604,49.6668523,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1894
Kepler-576 b,Kepler-576,,Confirmed,29.91136794,3.27,,0.84,-0.39,0.29173036143904213,,0.07493990936048789,-0.03479352934594081,,10.731028437780017,,,,0.03376359134400863,,,942.0000000000001,6.836,0.179,0.0,16.817,617.55,2011,2016.0,Transit,Kepler,0.99,0.97,5672.0,-0.21068,13.079,12.646,295.1828896,38.6542028,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-576
Kepler-1893 b,Kepler-1893,,Confirmed,4.179369926,1.70557445,,,,0.15216142225067142,,,,,3.5539738676429913,,,,0.011182052308418608,,,172.8,2.647,0.0504,0.0,478.98,1050.72,2014,2021.0,Transit,Kepler,0.973,1.162,5633.0,0.15984,13.586,13.104,298.4012866,44.8381709,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1893
Kepler-1601 b,Kepler-1601,,Confirmed,2.20921951,0.82,,0.24,-0.11,0.07315562580428579,,0.02141140267442511,-0.009813559559111508,,0.4771859443887398,,,,0.0015013948863208222,,,59.800000000000004,2.73,0.03281,0.0,999.752,644.456,2015,2016.0,Transit,Kepler,1.04,1.07,5869.0,0.08501,12.602,12.216,285.5129496,38.079839,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1601
Kepler-1922 b,Kepler-1922,,Confirmed,13.22259998,2.29064904,,,,0.20435837075510546,,,,,5.863823733714625,,,,0.018449652743572208,,,261.7,4.337,0.1077,0.0,71.11,1344.29,2015,2021.0,Transit,Kepler,0.953,0.863,5931.0,0.15221,14.038,13.6,292.3303706,37.9970696,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1922
HD 80653 b,HD 80653,,Confirmed,0.71957926,1.621,,0.054,-0.057,0.1446161822301796,,0.00481756560174565,-0.005085208135175964,5.61,,0.38,-0.37,0.017651033965489463,,0.0011956137088923345,-0.001164150190237273,159.6404,1.725,0.01657,0.0,6130.0,109.86,2020,2020.0,Transit,K2,1.15,1.199,5959.0,0.21165,8.315,8.018,140.3390845,14.3678691,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/HD 80653
Kepler-1542 d,Kepler-1542,,Confirmed,5.99273738,0.87,,0.12,-0.09,0.07761633469479103,,0.010705701337212555,-0.008029276002909416,,0.5899588141206422,,,,0.0018562180153802745,,,69.8,2.5486,0.0629,0.0,297.806,399.114,2015,2016.0,Transit,Kepler,0.94,0.99,5564.0,0.07026,11.421,10.989,285.7284757,42.6544651,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1542
Kepler-666 b,Kepler-666,,Confirmed,4.49876092,2.4,,0.58,-0.28,0.2141140267442511,,0.051744223129860684,-0.024979969786829297,,6.3469602061030415,,,,0.01996977008476556,,,460.0,3.8308,0.0542,0.0,575.644,1508.71,2011,2016.0,Transit,Kepler,1.03,1.05,5887.0,0.18164,14.199,13.807,298.4568899,48.7915925,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-666
Kepler-211 c,Kepler-211,,Confirmed,6.04045,1.29,,0.09,-0.09,0.11508628937503497,,0.008029276002909416,-0.008029276002909416,18.3,,22.4,-17.0,0.05757823913876242,,0.0704782817873376,-0.053487981713604436,273.2,2.053,0.062,0.0,95.436,309.353,2011,2014.0,Transit,Kepler,0.867,0.816,5123.0,-0.4133,11.927,11.447,285.4391183,43.1685051,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-211
Kepler-203 c,Kepler-203,,Confirmed,5.370647,2.47,,0.47,-0.47,0.22035901919095846,,0.04193066357074917,-0.04193066357074917,749.9,,419.1,-344.7,2.359449263943057,,1.3186360668336248,-1.0845474880399675,519.4,2.014,0.061,0.0,329.788,703.302,2011,2014.0,Transit,Kepler,1.06,1.114,5821.0,0.0937,12.859,12.445,297.089959,41.3880686,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-203
GJ 674 b,GJ 674,,Confirmed,4.6938,,3.3339929771758743,,,,0.2974394422834086,,,11.09,,,,0.034893042188463126,,,,,,0.039,0.2,10.5165,4.54896,2007,2007.0,Radial Velocity,La Silla Observatory,0.35,0.36463,3600.0,-1.796,5.711,4.855,262.1700476,-46.8989826,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/GJ 674
OGLE-TR-182 b,OGLE-TR-182,,Confirmed,3.9791,12.666,,2.69,-0.897,1.1299867761427853,,0.23998613830918145,-0.08002511749566385,320.995,,47.672,-47.672,1.0099632170681445,,0.14999288613240885,-0.14999288613240885,10400.0,,0.051,0.0,669.0373,2501.75,2007,2007.0,Transit,OGLE,1.14,1.14,5924.0,0.24059,15.453,14.737,167.3279228,-61.0952624,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/OGLE-TR-182
HD 69830 c,HD 69830,,Confirmed,31.56,,3.4581075996737876,,,,0.3085122262837714,,,11.8,,,,0.03712695201297249,,,,,,0.186,0.13,17.417,12.5591,2006,2006.0,Radial Velocity,La Silla Observatory,0.86,0.886947,5385.0,-0.22,4.953,4.165,124.6010091,-12.6364246,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HD 69830
